Date;Time;Boarding for day;Departing for day;Boarding per stop;Departing per stop;Current Load;First Door Open;Last Door Close;Duration;Boarding door(1);Departing door(1);Door open(1);Door close(1);Door duration(1);Door status(1);Counter status(1);
2019.09.05;06:31:43;0;0;0;0;0;-;-;-;0;0;-;-;-;0;0;
2019.09.05;06:54:16;0;0;0;0;0;06:54:02;06:54:06;00:04;0;0;06:54:02;06:54:06;00:04;1;1;
2019.09.05;07:48:29;1;0;1;0;1;07:48:08;07:48:19;00:11;1;0;07:48:08;07:48:19;00:11;1;1;
2019.09.05;07:50:10;2;0;1;0;2;07:49:51;07:50:00;00:09;1;0;07:49:51;07:50:00;00:09;1;1;
2019.09.05;07:58:01;2;2;0;2;0;07:57:32;07:57:51;00:19;0;2;07:57:32;07:57:51;00:19;1;1;
2019.09.05;08:03:09;3;2;1;0;1;08:02:45;08:02:59;00:14;1;0;08:02:45;08:02:59;00:14;1;1;
2019.09.05;08:04:52;5;2;2;0;3;08:04:30;08:04:42;00:12;2;0;08:04:30;08:04:42;00:12;1;1;
2019.09.05;08:08:06;7;2;2;0;5;08:07:44;08:07:56;00:12;2;0;08:07:44;08:07:56;00:12;1;1;
2019.09.05;08:10:39;8;2;1;0;6;08:10:22;08:10:29;00:07;1;0;08:10:22;08:10:29;00:07;1;1;
2019.09.05;08:11:54;11;2;3;0;9;08:11:32;08:11:44;00:12;3;0;08:11:32;08:11:44;00:12;1;1;
2019.09.05;08:14:37;12;2;1;0;10;08:14:18;08:14:27;00:09;1;0;08:14:18;08:14:27;00:09;1;1;
2019.09.05;08:15:21;13;2;1;0;11;08:15:02;08:15:11;00:09;1;0;08:15:02;08:15:11;00:09;1;1;
2019.09.05;08:17:32;13;14;0;12;-1;08:16:49;08:17:22;00:33;0;12;08:16:49;08:17:22;00:33;1;1;
2019.09.05;08:18:46;13;14;0;0;-1;08:18:30;08:18:36;00:06;0;0;08:18:30;08:18:36;00:06;1;1;
2019.09.05;08:19:33;13;14;0;0;-1;08:19:15;08:19:23;00:08;0;0;08:19:15;08:19:23;00:08;1;1;
2019.09.05;08:51:17;13;14;0;0;-1;08:51:05;08:51:07;00:02;0;0;08:51:05;08:51:07;00:02;1;1;
2019.09.05;10:31:39;13;14;0;0;-1;10:31:10;10:31:29;00:19;0;0;10:31:10;10:31:29;00:19;1;1;
2019.09.05;11:28:27;13;14;0;0;-1;10:50:35;11:28:17;37:42;0;0;10:50:35;11:28:17;37:42;1;1;
2019.09.05;12:23:46;13;14;0;0;-1;12:22:15;12:23:36;01:21;0;0;12:22:15;12:23:36;01:21;1;1;
2019.09.05;12:31:58;13;15;0;1;-2;12:31:38;12:31:48;00:10;0;1;12:31:38;12:31:48;00:10;1;1;
2019.09.05;12:33:13;13;16;0;1;-3;12:32:55;12:33:03;00:08;0;1;12:32:55;12:33:03;00:08;1;1;
